commit a079d5e6220bba9b497f4ccf63750f0c2d5c9b9f
2018/09/16 10:25:37.638092952
144,48,1
142,47,1
141,48,1
141,47,1
140,46,1
141,47,1
141,46,1
142,48,1
140,48,1
141,48,1
283,95,1
284,96,1
285,97,1
284,94,1
283,95,1
283,96,1
282,96,1
281,95,1
283,95,1
280,94,1
168,69,1
165,68,1
166,68,1
166,69,1
167,68,1
166,68,1
168,69,1
167,68,1
167,68,1
166,68,1
340,141,1
340,141,1
345,142,1
343,141,1
344,141,1
344,141,1
341,141,1
340,140,1
344,141,1
344,141,1
259,116,1
259,116,1
256,116,1
257,116,1
259,115,1
259,116,1
255,115,1
259,116,1
258,115,1
255,115,1
558,250,1
553,250,1
550,250,1
560,252,1
559,251,1
559,251,1
560,251,1
560,251,1
558,250,1
555,251,1
557,261,1
552,260,1
553,259,1
547,260,1
556,259,1
554,259,1
556,259,1
555,260,1
549,261,1
556,260,1
962,449,1
949,451,1
949,450,1
965,450,1
961,450,1
962,449,1
960,448,1
963,450,1
960,450,1
949,451,1
997,483,1
1015,484,1
1014,485,1
1015,485,1
1013,484,1
1012,484,1
1010,484,1
1008,485,1
1013,485,1
1010,483,1
2233,1064,1
2233,1067,1
2234,1068,1
2235,1067,1
2194,1066,1
2198,1068,1
2236,1065,1
2226,1067,1
2228,1065,1
2207,1067,1
2048,1004,1
2069,1004,1
2068,1005,1
2059,1004,1
2071,1004,1
2071,1002,1
2044,1004,1
2073,1006,1
2071,1005,1
2073,1002,1
4347,2101,1
4342,2104,1
4353,2107,1
4339,2107,1
4340,2106,1
4343,2106,1
4296,2104,1
4350,2103,1
4361,2104,1
4343,2101,1
561,188,1
560,191,1
559,190,1
559,189,1
556,187,1
562,195,1
557,188,1
560,190,1
563,192,1
559,190,1
1110,373,1
1107,373,1
1110,377,1
1111,378,1
1118,383,1
1116,381,1
1113,377,1
1107,373,1
1110,376,1
1111,377,1
652,270,1
655,273,1
651,270,1
651,270,1
652,272,1
649,267,1
652,270,1
653,272,1
655,272,1
653,270,1
1348,558,1
1346,559,1
1347,560,1
1344,558,1
1342,555,1
1350,561,1
1344,556,1
1346,559,1
1345,558,1
1344,559,1
1007,458,1
1005,457,1
1006,457,1
1006,457,1
1009,462,1
1006,456,1
1006,457,1
1006,458,1
1008,458,1
1006,457,1
2164,984,1
2176,989,1
2176,988,1
2178,991,1
2173,987,1
2170,984,1
2177,989,1
2173,987,1
2173,989,1
2173,984,1
2180,1034,1
2175,1032,1
2173,1035,1
2178,1035,1
2177,1034,1
2176,1037,1
